payment_id,cust_email,is_active
1,frederic@yahoo.com,yes
2,stinson@aol.com,yes
3,cgcra@verizon.net,yes
4,meinkej@att.net,yes
5,jmorris@outlook.com,yes
6,nachbaur@live.com,yes
7,zeitlin@aol.com,yes
8,wildfire@gmail.com,yes
9,jpflip@icloud.com,yes
10,trygstad@outlook.com,yes
11,monopole@hotmail.com,yes
12,arnold@comcast.net,yes
13,nogin@yahoo.ca,yes
14,paulv@me.com,yes
15,duchamp@live.com,yes
16,novanet@icloud.com,yes
17,skaufman@optonline.net,yes
18,multiplx@me.com,yes
19,birddog@att.net,yes
20,aukjan@outlook.com,yes
21,frederic@yahoo.com,yes
22,frederic@yahoo.com,no
23,frederic@yahoo.com,no
24,frederic@yahoo.com,yes
25,frederic@yahoo.com,yes
